designation,obsid,ra,dec,teff,logg,feh,snrr,coord_A_Li
J011350.77+432704.1,268605124,18.461552,43.451154,4925.93,2.264,-0.529,157.18,4.405562401
J011417.07+625827.5,617411179,18.571129,62.974332,4908.22,2.108,-0.629,132.1,3.152345181
J011429.85+540521.5,248411223,18.624383,54.089316,4804.09,2.439,-0.149,121.32,3.175789118
J011430.53+475922.3,257209045,18.627216,47.989538,5265.41,3.257,-0.598,64.1,2.08623147
J011440.38+451627.6,182712196,18.668255,45.274352,4501.12,1.909,-0.557,109.01,4.559917927
J011441.01+043529.8,75416150,18.670893,4.591631,4815.74,2.449,-0.391,84.22,3.563236475
J011447.52+295957.0,74212175,18.698019,29.999177,4752.45,2.477,-0.537,205.13,2.220199585
J011449.89+360344.1,392907171,18.7079044,36.0622503,4540.81,2.508,0.248,146.65,4.79934454
J011509.38+464329.6,82704078,18.789088,46.724899,4542.33,1.97,-0.394,182.71,2.452409744
J011510.01+444930.4,169715103,18.791715,44.825128,4788.69,2.233,-0.55,118.18,2.771412611
J011525.15+395852.6,372902013,18.8548,39.981299,4740.08,2.537,-0.042,60.76,3.260522842
J011552.92+401147.9,190710147,18.970521,40.196651,4806.18,2.508,-0.479,56.52,3.912806034
J011558.16+463616.1,268611210,18.9923367,46.6044803,4906.7,2.576,-0.392,34.98,2.937000036
J011717.36+490952.3,688410131,19.322373,49.164547,5054.77,2.47,-0.48,167.41,4.147184849
J011727.43+461528.3,82708109,19.364302,46.257874,4959.27,2.491,-0.065,392.19,3.362644672
J011746.47+271641.0,255904156,19.443626,27.27807,5171.53,3.236,-0.751,60.23,2.383611679
J011758.75+592503.1,617408220,19.494815,59.417538,4580.31,1.702,-0.644,76.88,2.314700603
J011800.72+440206.0,392211022,19.503006,44.035016,4088.05,2.022,-0.085,169.92,2.447176456
J011804.91+392338.1,190810037,19.520497,39.393932,4908.23,2.384,-0.415,398.97,2.185674667
J011828.79+421645.1,259514187,19.61996,42.279195,4170.7,1.395,-0.425,95.07,2.531601429
J011848.58+453529.4,257207089,19.702436,45.591506,5026.27,2.427,-0.596,106.09,2.863537788
J011944.49+321246.7,161514070,19.935398,32.212975,5209.57,3.248,0.044,60.54,2.448183298
J011944.68+614638.2,617409115,19.936179,61.777291,4640.22,2.244,-0.512,35.53,2.25585413
J012008.36+303405.1,161602033,20.034837,30.568085,5403.72,3.478,-0.138,425.04,3.310760975
J012013.25+163935.3,409513238,20.055215,16.65983,4633,2.16,-0.542,55.47,2.268556356
J012014.63+292651.8,256011112,20.060992,29.447746,4987.37,2.512,-0.694,33.73,4.72559309
J012015.81+555235.9,251015182,20.065045,55.877144,4820.15,2.425,-0.23,446.51,2.540433407
J012020.13+461144.1,168216151,20.083894,46.195606,4600.08,1.773,-0.065,37.44,3.852640629
J012042.91+604402.9,617408027,20.178799,60.734149,5546.19,3.295,-0.267,130.54,2.716050386
J012059.47+421013.6,268607225,20.247821,42.170468,4893.63,2.127,-0.645,30.36,3.894321203
J012112.68+612916.2,617409030,20.302852,61.487861,4265.72,3.489,-0.605,65.7,3.183929682
J012128.43+405931.8,190703123,20.368493,40.992188,4782.26,2.487,-0.168,397.99,2.365720987
J012128.57+405931.8,259502198,20.368492,40.992175,4775.88,2.435,-0.158,115.84,2.435634136
J012132.69+515842.8,248409143,20.386226,51.978575,4866.25,2.335,-0.364,76.94,2.40104723
J012142.09+251506.7,256001125,20.42435,25.251883,4858.12,2.499,-0.229,496.98,4.626456261
J012158.56+271846.3,256004238,20.4940122,27.3128797,4724.48,2.227,-0.455,90.66,2.403418303
J012202.99+080057.9,476411061,20.512471,8.016103,4857.64,2.364,-0.41,126.31,3.341043234
J012212.83+393617.0,405005177,20.553468,39.604749,4975.92,2.278,-0.765,77.99,2.288126469
J012217.01+432219.0,168105207,20.570887,43.371956,5497.86,3.337,-2.198,58.14,2.126853466
